name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
santiago de chile,2017-01-01,32,14,22.2,30.1,14,21.8,10.4,51.82,0,,0,,,,,29.5,181.6,,0,9,,,0,,2017-01-01T06:36:49,2017-01-01T20:55:42,0.05,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85574099999"
santiago de chile,2017-01-02,31,16,23.6,29.4,16,23.1,7,37.34,0,,0,,,,35.3,35.3,180,,0,9.3,,,0,,2017-01-02T06:37:35,2017-01-02T20:55:52,0.09,Clear,Clear conditions throughout the day.,wind,"SCEL,85574099999"
santiago de chile,2017-01-03,30,13,21.3,28.2,13,21,6.3,40.08,0,,0,,,,,29.5,182.5,,0,9,,,0,,2017-01-03T06:38:21,2017-01-03T20:55:59,0.13,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85574099999"
santiago de chile,2017-01-04,30,13,20.9,28.4,13,20.5,7.1,44.29,0,,0,,,,,25.9,186.3,,1.2,9.9,,,0,,2017-01-04T06:39:09,2017-01-04T20:56:05,0.18,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85574099999"
santiago de chile,2017-01-05,32,14,23.2,30.1,14,22.7,6,34.63,0,,0,,,,,31.7,200,,0,10,,,0,,2017-01-05T06:39:58,2017-01-05T20:56:09,0.23,Clear,Clear conditions throughout the day.,wind,"SCEL,85574099999"
santiago de chile,2017-01-06,31,14,22.4,29.5,14,22,7.3,39.51,0,,0,,,,,25.9,185.8,,0,10,,,0,,2017-01-06T06:40:47,2017-01-06T20:56:11,0.28,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85574099999"
santiago de chile,2017-01-07,31,15,23.5,29.7,15,23.1,8.6,39.89,0,,0,,,,,25.9,200,,0,9.9,,,0,,2017-01-07T06:41:38,2017-01-07T20:56:11,0.35,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85574099999"
santiago de chile,2017-01-08,31,17,23.4,29.5,17,23,8.8,41.23,0,,0,,,,,33.5,194,,6.4,10,,,0,,2017-01-08T06:42:29,2017-01-08T20:56:10,0.4,Clear,Clear conditions throughout the day.,wind,"SCEL,85574099999"
santiago de chile,2017-01-09,30,17,21.9,28.6,17,21.7,10.3,50.09,0,,0,,,,,27.7,177.4,1011.4,41.5,10,,,0,,2017-01-09T06:43:21,2017-01-09T20:56:06,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85580099999,85577099999,SCTB,85574099999"
santiago de chile,2017-01-10,30.5,16.8,22.9,29,16.8,22.7,10.7,47.79,0,,0,,,,,29.5,176.9,1012.8,22.8,10,,,0,,2017-01-10T06:44:14,2017-01-10T20:56:01,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
santiago de chile,2017-01-11,33,14.3,24.2,31.3,14.3,23.6,8.6,40.03,0,,0,,,,,25.9,184,1014.8,0,9.9,,,0,,2017-01-11T06:45:08,2017-01-11T20:55:54,0.49,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999"
santiago de chile,2017-01-12,34,16,25.7,31.9,16,25,7.6,33.65,0,,0,,,,,31.7,173.3,1010.3,0,9.6,,,0,,2017-01-12T06:46:03,2017-01-12T20:55:45,0.5,Clear,Clear conditions throughout the day.,wind,"SCEL,85577099999,85574099999"
santiago de chile,2017-01-13,35,18,27,32.8,18,26.1,9,35.84,0,,0,,,,,27.7,180,1010.5,2.4,9.7,,,0,,2017-01-13T06:46:58,2017-01-13T20:55:34,0.51,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999"
santiago de chile,2017-01-14,32,17,24.7,30.4,17,24.2,6.7,33.01,0,,0,,,,,33.5,183.9,1009.4,2.8,9.9,,,0,,2017-01-14T06:47:53,2017-01-14T20:55:21,0.53,Clear,Clear conditions throughout the day.,wind,"SCEL,85577099999,85574099999"
santiago de chile,2017-01-15,31,14,22.1,29.1,14,21.6,4.4,34.06,0,,0,,,,,25.9,187.8,1011.4,0,10,,,0,,2017-01-15T06:48:49,2017-01-15T20:55:06,0.56,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999"
santiago de chile,2017-01-16,31,13,22.7,29.3,13,22.2,7.7,41.16,0,,0,,,,,29.5,187.5,1013.4,0,9.9,,,0,,2017-01-16T06:49:46,2017-01-16T20:54:50,0.6,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999"
santiago de chile,2017-01-17,34,15,25.2,32,15,24.4,9.1,40.3,0,,0,,,,,22.3,171.3,1012.7,1.7,9.7,,,0,,2017-01-17T06:50:43,2017-01-17T20:54:32,0.64,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999"
santiago de chile,2017-01-18,35,17,26.3,32.7,17,25.6,6.9,32.04,0,,0,,,,,33.5,226,1010.5,2.4,9.7,,,0,,2017-01-18T06:51:41,2017-01-18T20:54:12,0.69,Clear,Clear conditions throughout the day.,wind,"SCEL,85577099999,85574099999"
santiago de chile,2017-01-19,35,16,25.7,32.6,16,24.8,4.9,28.82,0,,0,,,,,25.9,183.1,1012.2,1.2,8.6,,,0,,2017-01-19T06:52:39,2017-01-19T20:53:50,0.73,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999"
